Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
159,5,20,80,8/30/13,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
160,5,20,80,8/30/13,Extra,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,21,94,090-099,0,3,Cup Lose,NO,Lose
161,6,21,81,9/6/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,25,104,100-109,2,9,Points Win,NO,Win
162,6,21,81,9/6/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,27,90,090-099,2,7,Points Lose,NO,Lose
163,6,21,82,9/6/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,1,Lose,Lose,25,104,100-109,2,9,Points Win,YES,Win
164,6,21,82,9/6/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Win,Win,27,90,090-099,2,7,Points Lose,YES,Lose
165,6,21,83,9/6/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Lose,25,104,100-109,2,9,Points Win,NO,Win
166,6,21,83,9/6/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Win,27,90,090-099,2,7,Points Lose,NO,Lose
167,6,21,84,9/6/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Lose,25,104,100-109,2,9,Points Win,NO,Win
168,6,21,84,9/6/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Win,27,90,090-099,2,7,Points Lose,NO,Lose
169,6,22,85,9/6/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,30,104,100-109,2,9,Points Win,NO,Win
170,6,22,85,9/6/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,21,90,090-099,2,7,Points Lose,NO,Lose
171,6,22,86,9/6/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,30,104,100-109,2,9,Points Win,NO,Win
172,6,22,86,9/6/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,3,Lose,Lose,21,90,090-099,2,7,Points Lose,NO,Lose
173,6,22,87,9/6/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,3,Lose,Win,30,104,100-109,2,9,Points Win,YES,Win
