Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
2317,73,290,1159,3/22/14,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,30,105,100-109,1,4,Cup Lose,NO,Lose
2318,73,290,1159,3/22/14,Extra,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Lose,24,123,120-129,3,12,Cup Win,NO,Win
2319,73,290,1160,3/22/14,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Win,30,105,100-109,1,4,Cup Lose,NO,Lose
2320,73,290,1160,3/22/14,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Lose,24,123,120-129,3,12,Cup Win,NO,Win
2321,73,291,1161,3/22/14,Extra,3 Star Cup,9 Wario Stadium,Mario,6,Lose,Lose,27,105,100-109,1,4,Cup Lose,NO,Lose
2322,73,291,1161,3/22/14,Extra,3 Star Cup,9 Wario Stadium,Peter,9,Win,Win,30,123,120-129,3,12,Cup Win,NO,Win
2323,73,291,1162,3/22/14,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,27,105,100-109,1,4,Cup Lose,NO,Lose
2324,73,291,1162,3/22/14,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,30,123,120-129,3,12,Cup Win,NO,Win
2325,73,291,1163,3/22/14,Extra,3 Star Cup,11 Royal Raceway,Mario,9,Win,Lose,27,105,100-109,1,4,Cup Lose,NO,Lose
2326,73,291,1163,3/22/14,Extra,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Win,30,123,120-129,3,12,Cup Win,NO,Win
2327,73,291,1164,3/22/14,Extra,3 Star Cup,12 Bowser's Castle,Mario,6,Lose,Lose,27,105,100-109,1,4,Cup Lose,NO,Lose
2328,73,291,1164,3/22/14,Extra,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Win,30,123,120-129,3,12,Cup Win,NO,Win
2329,73,292,1165,3/22/14,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Lose,21,105,100-109,1,4,Cup Lose,NO,Lose
2330,73,292,1165,3/22/14,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,36,123,120-129,3,12,Cup Win,NO,Win
2331,73,292,1166,3/22/14,Extra,4 Special Cup,14 Yoshi Valley,Mario,3,Lose,Lose,21,105,100-109,1,4,Cup Lose,NO,Lose
2332,73,292,1166,3/22/14,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,36,123,120-129,3,12,Cup Win,NO,Win
2333,73,292,1167,3/22/14,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,6,Lose,Lose,21,105,100-109,1,4,Cup Lose,NO,Lose
2334,73,292,1167,3/22/14,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,36,123,120-129,3,12,Cup Win,NO,Win
2335,73,292,1168,3/22/14,Extra,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Lose,21,105,100-109,1,4,Cup Lose,NO,Lose
2336,73,292,1168,3/22/14,Extra,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,36,123,120-129,3,12,Cup Win,NO,Win
2337,74,293,1169,3/28/14,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,30,96,090-099,2,7,Cup Win,NO,Win
2338,74,293,1169,3/28/14,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,19,100,100-109,1,9,Cup Lose,NO,Lose
2339,74,293,1170,3/28/14,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,30,96,090-099,2,7,Cup Win,NO,Win
2340,74,293,1170,3/28/14,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,3,Lose,Lose,19,100,100-109,1,9,Cup Lose,NO,Lose
2341,74,293,1171,3/28/14,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,30,96,090-099,2,7,Cup Win,NO,Win
2342,74,293,1171,3/28/14,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,1,Lose,Lose,19,100,100-109,1,9,Cup Lose,NO,Lose
2343,74,293,1172,3/28/14,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,3,Lose,Win,30,96,090-099,2,7,Cup Win,NO,Win
2344,74,293,1172,3/28/14,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Lose,19,100,100-109,1,9,Cup Lose,NO,Lose
2345,74,294,1173,3/28/14,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,3,Lose,Tie,24,96,090-099,2,7,Cup Win,NO,Win
2346,74,294,1173,3/28/14,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Tie,24,100,100-109,1,9,Cup Lose,NO,Lose
2347,74,294,1174,3/28/14,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Tie,24,96,090-099,2,7,Cup Win,NO,Win
2348,74,294,1174,3/28/14,150cc,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Tie,24,100,100-109,1,9,Cup Lose,NO,Lose
2349,74,294,1175,3/28/14,150cc,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Tie,24,96,090-099,2,7,Cup Win,NO,Win
2350,74,294,1175,3/28/14,150cc,2 Flower Cup,7 Choco Mountain,Peter,0,Lose,Tie,24,100,100-109,1,9,Cup Lose,NO,Lose
2351,74,294,1176,3/28/14,150cc,2 Flower Cup,8 Mario Raceway,Mario,3,Lose,Tie,24,96,090-099,2,7,Cup Win,NO,Win
2352,74,294,1176,3/28/14,150cc,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Tie,24,100,100-109,1,9,Cup Lose,NO,Lose
2353,74,295,1177,3/28/14,150cc,3 Star Cup,9 Wario Stadium,Mario,0,Lose,Win,24,96,090-099,2,7,Cup Win,YES,Win
2354,74,295,1177,3/28/14,150cc,3 Star Cup,9 Wario Stadium,Peter,3,Win,Lose,21,100,100-109,1,9,Cup Lose,YES,Lose
2355,74,295,1178,3/28/14,150cc,3 Star Cup,10 Sherbert Land,Mario,9,Win,Win,24,96,090-099,2,7,Cup Win,NO,Win
2356,74,295,1178,3/28/14,150cc,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Lose,21,100,100-109,1,9,Cup Lose,NO,Lose
2357,74,295,1179,3/28/14,150cc,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,24,96,090-099,2,7,Cup Win,NO,Win
2358,74,295,1179,3/28/14,150cc,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Lose,21,100,100-109,1,9,Cup Lose,NO,Lose
2359,74,295,1180,3/28/14,150cc,3 Star Cup,12 Bowser's Castle,Mario,6,Lose,Win,24,96,090-099,2,7,Cup Win,NO,Win
2360,74,295,1180,3/28/14,150cc,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Lose,21,100,100-109,1,9,Cup Lose,NO,Lose
2361,74,296,1181,3/28/14,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Lose,18,96,090-099,2,7,Cup Win,NO,Win
2362,74,296,1181,3/28/14,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,36,100,100-109,1,9,Cup Lose,NO,Lose
2363,74,296,1182,3/28/14,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,18,96,090-099,2,7,Cup Win,NO,Win
2364,74,296,1182,3/28/14,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,36,100,100-109,1,9,Cup Lose,NO,Lose
2365,74,296,1183,3/28/14,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,0,Lose,Lose,18,96,090-099,2,7,Cup Win,NO,Win
2366,74,296,1183,3/28/14,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,36,100,100-109,1,9,Cup Lose,NO,Lose
2367,74,296,1184,3/28/14,150cc,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Lose,18,96,090-099,2,7,Cup Win,NO,Win
2368,74,296,1184,3/28/14,150cc,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,36,100,100-109,1,9,Cup Lose,NO,Lose
2369,75,297,1185,3/28/14,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,102,100-109,1,8,Cup Lose,NO,Lose
2370,75,297,1185,3/28/14,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,27,105,100-109,2,8,Cup Win,NO,Win
2371,75,297,1186,3/28/14,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,102,100-109,1,8,Cup Lose,NO,Lose
2372,75,297,1186,3/28/14,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Lose,27,105,100-109,2,8,Cup Win,NO,Win
2373,75,297,1187,3/28/14,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,33,102,100-109,1,8,Cup Lose,NO,Lose
2374,75,297,1187,3/28/14,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,27,105,100-109,2,8,Cup Win,NO,Win
2375,75,297,1188,3/28/14,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Win,33,102,100-109,1,8,Cup Lose,NO,Lose
2376,75,297,1188,3/28/14,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Lose,27,105,100-109,2,8,Cup Win,NO,Win
2377,75,298,1189,3/28/14,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,3,Lose,Lose,24,102,100-109,1,8,Cup Lose,YES,Lose
2378,75,298,1189,3/28/14,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,6,Win,Win,30,105,100-109,2,8,Cup Win,YES,Win
2379,75,298,1190,3/28/14,Extra,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Lose,24,102,100-109,1,8,Cup Lose,NO,Lose
2380,75,298,1190,3/28/14,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,30,105,100-109,2,8,Cup Win,NO,Win
2381,75,298,1191,3/28/14,Extra,2 Flower Cup,7 Choco Mountain,Mario,6,Lose,Lose,24,102,100-109,1,8,Cup Lose,NO,Lose
2382,75,298,1191,3/28/14,Extra,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,30,105,100-109,2,8,Cup Win,NO,Win
2383,75,298,1192,3/28/14,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,24,102,100-109,1,8,Cup Lose,NO,Lose
2384,75,298,1192,3/28/14,Extra,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Win,30,105,100-109,2,8,Cup Win,NO,Win
2385,75,299,1193,3/28/14,Extra,3 Star Cup,9 Wario Stadium,Mario,0,Lose,Lose,18,102,100-109,1,8,Cup Lose,NO,Lose
2386,75,299,1193,3/28/14,Extra,3 Star Cup,9 Wario Stadium,Peter,9,Win,Win,21,105,100-109,2,8,Cup Win,NO,Win
2387,75,299,1194,3/28/14,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Lose,18,102,100-109,1,8,Cup Lose,NO,Lose
2388,75,299,1194,3/28/14,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Win,21,105,100-109,2,8,Cup Win,NO,Win
2389,75,299,1195,3/28/14,Extra,3 Star Cup,11 Royal Raceway,Mario,0,Lose,Lose,18,102,100-109,1,8,Cup Lose,YES,Lose
2390,75,299,1195,3/28/14,Extra,3 Star Cup,11 Royal Raceway,Peter,3,Win,Win,21,105,100-109,2,8,Cup Win,YES,Win
2391,75,299,1196,3/28/14,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Lose,18,102,100-109,1,8,Cup Lose,NO,Lose
2392,75,299,1196,3/28/14,Extra,3 Star Cup,12 Bowser's Castle,Peter,3,Lose,Win,21,105,100-109,2,8,Cup Win,NO,Win
2393,75,300,1197,3/28/14,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Tie,27,102,100-109,1,8,Cup Lose,NO,Lose
2394,75,300,1197,3/28/14,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Tie,27,105,100-109,2,8,Cup Win,NO,Win
2395,75,300,1198,3/28/14,Extra,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Tie,27,102,100-109,1,8,Cup Lose,NO,Lose
2396,75,300,1198,3/28/14,Extra,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Tie,27,105,100-109,2,8,Cup Win,NO,Win
2397,75,300,1199,3/28/14,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Tie,27,102,100-109,1,8,Cup Lose,NO,Lose
2398,75,300,1199,3/28/14,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Tie,27,105,100-109,2,8,Cup Win,NO,Win
2399,75,300,1200,3/28/14,Extra,4 Special Cup,16 Rainbow Road,Mario,3,Lose,Tie,27,102,100-109,1,8,Cup Lose,NO,Lose
2400,75,300,1200,3/28/14,Extra,4 Special Cup,16 Rainbow Road,Peter,9,Win,Tie,27,105,100-109,2,8,Cup Win,NO,Win
2401,76,301,1201,4/3/14,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,27,112,110-119,1,9,Cup Lose,NO,Lose
2402,76,301,1201,4/3/14,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,109,100-109,2,7,Cup Win,NO,Win
2403,76,301,1202,4/3/14,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Lose,27,112,110-119,1,9,Cup Lose,NO,Lose
2404,76,301,1202,4/3/14,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Win,33,109,100-109,2,7,Cup Win,NO,Win
2405,76,301,1203,4/3/14,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,27,112,110-119,1,9,Cup Lose,NO,Lose
2406,76,301,1203,4/3/14,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,33,109,100-109,2,7,Cup Win,NO,Win
2407,76,301,1204,4/3/14,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,27,112,110-119,1,9,Cup Lose,NO,Lose
2408,76,301,1204,4/3/14,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,33,109,100-109,2,7,Cup Win,NO,Win
2409,76,302,1205,4/3/14,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Lose,25,112,110-119,1,9,Cup Lose,NO,Lose
2410,76,302,1205,4/3/14,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Win,27,109,100-109,2,7,Cup Win,NO,Win
2411,76,302,1206,4/3/14,150cc,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Lose,25,112,110-119,1,9,Cup Lose,NO,Lose
2412,76,302,1206,4/3/14,150cc,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,27,109,100-109,2,7,Cup Win,NO,Win
2413,76,302,1207,4/3/14,150cc,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Lose,25,112,110-119,1,9,Cup Lose,NO,Lose
2414,76,302,1207,4/3/14,150cc,2 Flower Cup,7 Choco Mountain,Peter,3,Lose,Win,27,109,100-109,2,7,Cup Win,NO,Win
2415,76,302,1208,4/3/14,150cc,2 Flower Cup,8 Mario Raceway,Mario,1,Lose,Lose,25,112,110-119,1,9,Cup Lose,NO,Lose
2416,76,302,1208,4/3/14,150cc,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Win,27,109,100-109,2,7,Cup Win,NO,Win
2417,76,303,1209,4/3/14,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Tie,27,112,110-119,1,9,Cup Lose,NO,Lose
2418,76,303,1209,4/3/14,150cc,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Tie,27,109,100-109,2,7,Cup Win,NO,Win
2419,76,303,1210,4/3/14,150cc,3 Star Cup,10 Sherbert Land,Mario,9,Win,Tie,27,112,110-119,1,9,Cup Lose,NO,Lose
2420,76,303,1210,4/3/14,150cc,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Tie,27,109,100-109,2,7,Cup Win,NO,Win
2421,76,303,1211,4/3/14,150cc,3 Star Cup,11 Royal Raceway,Mario,9,Win,Tie,27,112,110-119,1,9,Cup Lose,NO,Lose
2422,76,303,1211,4/3/14,150cc,3 Star Cup,11 Royal Raceway,Peter,6,Lose,Tie,27,109,100-109,2,7,Cup Win,NO,Win
2423,76,303,1212,4/3/14,150cc,3 Star Cup,12 Bowser's Castle,Mario,0,Lose,Tie,27,112,110-119,1,9,Cup Lose,NO,Lose
2424,76,303,1212,4/3/14,150cc,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Tie,27,109,100-109,2,7,Cup Win,NO,Win
2425,76,304,1213,4/3/14,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,33,112,110-119,1,9,Cup Lose,NO,Lose
2426,76,304,1213,4/3/14,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,22,109,100-109,2,7,Cup Win,NO,Win
2427,76,304,1214,4/3/14,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,33,112,110-119,1,9,Cup Lose,NO,Lose
2428,76,304,1214,4/3/14,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,22,109,100-109,2,7,Cup Win,NO,Win
2429,76,304,1215,4/3/14,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,33,112,110-119,1,9,Cup Lose,NO,Lose
2430,76,304,1215,4/3/14,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,1,Lose,Lose,22,109,100-109,2,7,Cup Win,NO,Win
2431,76,304,1216,4/3/14,150cc,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Win,33,112,110-119,1,9,Cup Lose,NO,Lose
2432,76,304,1216,4/3/14,150cc,4 Special Cup,16 Rainbow Road,Peter,9,Win,Lose,22,109,100-109,2,7,Cup Win,NO,Win
2433,77,305,1217,4/3/14,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,108,100-109,2,9,Points Win,NO,Win
2434,77,305,1217,4/3/14,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,3,Lose,Lose,21,100,100-109,2,7,Points Lose,NO,Lose
2435,77,305,1218,4/3/14,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,108,100-109,2,9,Points Win,NO,Win
2436,77,305,1218,4/3/14,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,3,Lose,Lose,21,100,100-109,2,7,Points Lose,NO,Lose
2437,77,305,1219,4/3/14,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,33,108,100-109,2,9,Points Win,NO,Win
2438,77,305,1219,4/3/14,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,21,100,100-109,2,7,Points Lose,NO,Lose
2439,77,305,1220,4/3/14,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Win,33,108,100-109,2,9,Points Win,NO,Win
2440,77,305,1220,4/3/14,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Lose,21,100,100-109,2,7,Points Lose,NO,Lose
2441,77,306,1221,4/3/14,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,6,Lose,Lose,21,108,100-109,2,9,Points Win,NO,Win
2442,77,306,1221,4/3/14,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,33,100,100-109,2,7,Points Lose,NO,Lose
2443,77,306,1222,4/3/14,Extra,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Lose,21,108,100-109,2,9,Points Win,NO,Win
2444,77,306,1222,4/3/14,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,33,100,100-109,2,7,Points Lose,NO,Lose
2445,77,306,1223,4/3/14,Extra,2 Flower Cup,7 Choco Mountain,Mario,0,Lose,Lose,21,108,100-109,2,9,Points Win,NO,Win
2446,77,306,1223,4/3/14,Extra,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,33,100,100-109,2,7,Points Lose,NO,Lose
2447,77,306,1224,4/3/14,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,21,108,100-109,2,9,Points Win,NO,Win
2448,77,306,1224,4/3/14,Extra,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Win,33,100,100-109,2,7,Points Lose,NO,Lose
2449,77,307,1225,4/3/14,Extra,3 Star Cup,9 Wario Stadium,Mario,6,Win,Lose,21,108,100-109,2,9,Points Win,YES,Win
2450,77,307,1225,4/3/14,Extra,3 Star Cup,9 Wario Stadium,Peter,1,Lose,Win,22,100,100-109,2,7,Points Lose,YES,Lose
2451,77,307,1226,4/3/14,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,21,108,100-109,2,9,Points Win,NO,Win
2452,77,307,1226,4/3/14,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,22,100,100-109,2,7,Points Lose,NO,Lose
2453,77,307,1227,4/3/14,Extra,3 Star Cup,11 Royal Raceway,Mario,0,Lose,Lose,21,108,100-109,2,9,Points Win,YES,Win
2454,77,307,1227,4/3/14,Extra,3 Star Cup,11 Royal Raceway,Peter,6,Win,Win,22,100,100-109,2,7,Points Lose,YES,Lose
2455,77,307,1228,4/3/14,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Lose,21,108,100-109,2,9,Points Win,NO,Win
2456,77,307,1228,4/3/14,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Win,22,100,100-109,2,7,Points Lose,NO,Lose
2457,77,308,1229,4/3/14,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,33,108,100-109,2,9,Points Win,NO,Win
2458,77,308,1229,4/3/14,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,24,100,100-109,2,7,Points Lose,NO,Lose
2459,77,308,1230,4/3/14,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Win,33,108,100-109,2,9,Points Win,NO,Win
2460,77,308,1230,4/3/14,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Lose,24,100,100-109,2,7,Points Lose,NO,Lose
2461,77,308,1231,4/3/14,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,33,108,100-109,2,9,Points Win,NO,Win
2462,77,308,1231,4/3/14,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Lose,24,100,100-109,2,7,Points Lose,NO,Lose
2463,77,308,1232,4/3/14,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,33,108,100-109,2,9,Points Win,NO,Win
2464,77,308,1232,4/3/14,Extra,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,24,100,100-109,2,7,Points Lose,NO,Lose
2465,78,309,1233,4/12/14,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,21,111,110-119,1,7,Points Lose,NO,Lose
2466,78,309,1233,4/12/14,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,36,123,120-129,1,9,Points Win,NO,Win
2467,78,309,1234,4/12/14,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,3,Lose,Lose,21,111,110-119,1,7,Points Lose,NO,Lose
2468,78,309,1234,4/12/14,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,36,123,120-129,1,9,Points Win,NO,Win
2469,78,309,1235,4/12/14,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,21,111,110-119,1,7,Points Lose,NO,Lose
2470,78,309,1235,4/12/14,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,36,123,120-129,1,9,Points Win,NO,Win
2471,78,309,1236,4/12/14,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,21,111,110-119,1,7,Points Lose,NO,Lose
2472,78,309,1236,4/12/14,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,36,123,120-129,1,9,Points Win,NO,Win
2473,78,310,1237,4/12/14,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,30,111,110-119,1,7,Points Lose,NO,Lose
2474,78,310,1237,4/12/14,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,27,123,120-129,1,9,Points Win,NO,Win
2475,78,310,1238,4/12/14,150cc,2 Flower Cup,6 Frappe Snowland,Mario,3,Lose,Win,30,111,110-119,1,7,Points Lose,NO,Lose
2476,78,310,1238,4/12/14,150cc,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Lose,27,123,120-129,1,9,Points Win,NO,Win
2477,78,310,1239,4/12/14,150cc,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,30,111,110-119,1,7,Points Lose,NO,Lose
2478,78,310,1239,4/12/14,150cc,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Lose,27,123,120-129,1,9,Points Win,NO,Win
2479,78,310,1240,4/12/14,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,30,111,110-119,1,7,Points Lose,NO,Lose
2480,78,310,1240,4/12/14,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,27,123,120-129,1,9,Points Win,NO,Win
2481,78,311,1241,4/12/14,150cc,3 Star Cup,9 Wario Stadium,Mario,6,Lose,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2482,78,311,1241,4/12/14,150cc,3 Star Cup,9 Wario Stadium,Peter,9,Win,Tie,30,123,120-129,1,9,Points Win,NO,Win
2483,78,311,1242,4/12/14,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2484,78,311,1242,4/12/14,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Tie,30,123,120-129,1,9,Points Win,NO,Win
2485,78,311,1243,4/12/14,150cc,3 Star Cup,11 Royal Raceway,Mario,9,Win,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2486,78,311,1243,4/12/14,150cc,3 Star Cup,11 Royal Raceway,Peter,6,Lose,Tie,30,123,120-129,1,9,Points Win,NO,Win
2487,78,311,1244,4/12/14,150cc,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2488,78,311,1244,4/12/14,150cc,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Tie,30,123,120-129,1,9,Points Win,NO,Win
2489,78,312,1245,4/12/14,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2490,78,312,1245,4/12/14,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Tie,30,123,120-129,1,9,Points Win,NO,Win
2491,78,312,1246,4/12/14,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2492,78,312,1246,4/12/14,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Tie,30,123,120-129,1,9,Points Win,NO,Win
2493,78,312,1247,4/12/14,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Tie,30,111,110-119,1,7,Points Lose,NO,Lose
2494,78,312,1247,4/12/14,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,6,Lose,Tie,30,123,120-129,1,9,Points Win,NO,Win
